id,Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Total_Expenses,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Rent,Potential_Savings_Loan_Repayment,Potential_Savings_Insurance,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
61,243100,29,3,Business Owner,Tier_1,62440,43170,10650,41590,19230,18360,8680,6350,17020,3630,7460,238580,12.9,31360,4520,1870,1300,320,1250,1920,6430,2600,190,510,110,1860
62,211800,33,1,Business Owner,Tier_1,56990,1430,8440,17660,11690,11150,5250,11180,11170,14430,4960,154350,9.4,19910,57450,1710,40,250,530,1170,3900,1580,340,340,430,1240
63,45400,24,1,Salaried,Tier_2,9420,0,950,5900,1670,2270,970,2310,1680,550,990,26710,18.7,8490,18690,280,0,30,180,170,790,290,70,50,20,250
64,127600,31,2,Self-Employed,Tier_1,37340,4930,3220,17210,7660,11990,5390,3390,7860,650,2650,102290,32.9,41980,25310,1120,150,100,520,770,4200,1620,100,240,20,660
65,8600,18,0,Student,Tier_2,1530,1520,300,1090,730,230,380,260,340,80,310,6770,16.4,1410,1830,50,50,10,30,70,80,110,10,10,0,80
66,136800,36,2,Salaried,Tier_1,44530,10510,5350,19920,10790,5000,2170,4430,6370,12480,6320,127870,12.8,17510,8930,1340,320,160,600,1080,1750,650,130,190,370,1580
67,6000,34,0,Freelancer,Tier_2,1410,0,270,660,230,150,170,190,140,10,240,3470,16.4,980,2530,40,0,10,20,20,50,50,10,0,0,60
68,76800,41,1,Salaried,Tier_1,20380,0,2190,8650,5950,6350,2150,4350,3530,440,3000,56990,12.1,9290,19810,610,0,70,260,600,2220,640,130,110,10,750
69,80400,41,0,Salaried,Tier_1,15220,7740,2220,8190,3180,3710,1710,2920,2160,870,4150,52070,25.5,20500,28330,460,230,70,250,320,1300,510,90,60,30,1040
70,60000,22,1,Salaried,Tier_1,16430,0,2700,5620,3900,1790,1440,3800,2910,420,2630,41640,33.3,19980,18360,490,0,80,170,390,630,430,110,90,10,660
71,52700,38,0,Salaried,Tier_1,14750,0,1890,4950,2730,2390,910,1510,3020,460,1530,34140,11.7,6170,18560,440,0,60,150,270,840,270,50,90,10,380
72,75500,19,3,Salaried,Tier_3,21070,0,1770,11360,2860,3500,1240,4990,4550,1100,2010,54450,19.8,14950,21050,630,0,50,340,290,1220,370,150,140,30,500
73,56400,34,3,Salaried,Tier_2,9910,10030,1620,8870,2940,4870,2780,2690,1680,2580,2320,50290,34.1,19230,6110,300,300,50,270,290,1700,830,80,50,80,580
74,49000,50,2,Freelancer,Tier_3,10770,0,2150,7280,2310,3600,1020,3200,990,390,2830,34540,14.0,6860,14460,320,0,60,220,230,1260,310,100,30,10,710
75,60100,37,1,Salaried,Tier_1,8640,0,2620,7270,4660,1780,1290,3450,2910,1000,2900,36520,20.1,12080,23580,260,0,80,220,470,620,390,100,90,30,720
76,173700,33,1,Salaried,Tier_1,42950,4250,3740,15780,5710,8580,7250,7180,2920,2830,7620,108810,8.4,14590,64890,1290,130,110,470,570,3000,2180,220,90,80,1900
77,63400,40,2,Self-Employed,Tier_1,9870,13590,810,7510,3830,6790,2040,2620,2460,730,3760,54010,14.8,9380,9390,300,410,20,230,380,2380,610,80,70,20,940
78,83300,29,0,Salaried,Tier_3,21560,0,1940,5290,5230,6410,1420,4260,2770,1040,3770,53690,29.9,24910,29610,650,0,60,160,520,2240,430,130,80,30,940
79,66400,25,1,Salaried,Tier_3,19120,7530,3290,7420,3000,4830,1170,2460,3520,1030,2210,55580,11.4,7570,10820,570,230,100,220,300,1690,350,70,110,30,550
80,4500,35,1,Salaried,Tier_3,940,490,210,490,350,320,60,210,250,40,150,3510,10.2,460,990,30,10,10,10,40,110,20,10,10,0,40
81,95700,25,0,Business Owner,Tier_1,30440,7420,4780,7840,8500,9920,1240,4350,2700,1380,4510,83080,33.7,32250,12620,910,220,140,240,850,3470,370,130,80,40,1130
82,59600,25,1,Salaried,Tier_2,15500,4800,1510,6780,3950,4030,2860,2250,3100,620,2450,47850,18.7,11150,11750,460,140,50,200,400,1410,860,70,90,20,610
83,34800,46,2,Business Owner,Tier_1,6680,0,1730,3340,2960,2270,520,2180,1320,3750,1320,26070,10.4,3620,8730,200,0,50,100,300,790,160,70,40,110,330
84,115200,34,1,Business Owner,Tier_3,32310,21580,4430,16690,7860,10450,3500,3090,2490,1920,5950,110270,8.7,10020,4930,970,650,130,500,790,3660,1050,90,70,60,1490
85,77500,38,0,Self-Employed,Tier_1,26730,12260,2400,9420,6150,2340,3790,3540,2520,950,2620,72720,31.7,24570,4780,800,370,70,280,620,820,1140,110,80,30,660
86,119100,31,3,Freelancer,Tier_2,15480,3250,1920,10810,5880,8300,2840,8510,8090,1810,3580,70470,25.1,29890,48630,460,100,60,320,590,2900,850,260,240,50,900
87,60300,29,3,Self-Employed,Tier_1,16540,0,2060,9530,3850,5630,670,1630,3150,4170,2780,50010,28.7,17310,10290,500,0,60,290,380,1970,200,50,90,130,700
88,68600,33,0,Salaried,Tier_2,20040,7290,2890,7880,3280,1720,850,2580,2350,250,3040,52170,16.4,11250,16430,600,220,90,240,330,600,260,80,70,10,760
89,140900,51,0,Business Owner,Tier_2,25000,0,2920,11250,5050,6820,3570,6290,3160,2190,3720,69970,16.8,23670,70930,750,0,90,340,500,2390,1070,190,90,70,930
90,26100,41,1,Self-Employed,Tier_1,5270,130,1250,2830,2300,1100,630,620,980,2760,1210,19080,20.7,5400,7020,160,0,40,80,230,380,190,20,30,80,300
91,45900,19,2,Self-Employed,Tier_3,8820,5760,820,5550,1580,3050,1860,1660,3170,560,1140,33970,34.3,15740,11930,260,170,20,170,160,1070,560,50,100,20,280
92,99100,19,0,Salaried,Tier_3,15440,0,2970,6310,3790,4290,2870,3790,4000,920,3280,47660,24.6,24380,51440,460,0,90,190,380,1500,860,110,120,30,820
93,27700,33,0,Salaried,Tier_3,6860,1830,1180,2480,1950,2450,920,1440,1280,340,580,21310,20.8,5760,6390,210,50,40,70,200,860,280,40,40,10,140
94,25000,64,0,Retired,Tier_3,5830,3410,1090,1800,1770,560,1200,610,270,140,650,17330,26.6,6650,7670,170,100,30,50,180,200,360,20,10,0,160
95,27700,20,3,Salaried,Tier_3,3630,0,510,2950,1930,1570,620,920,1910,170,950,15160,28.8,7980,12540,110,0,20,90,190,550,190,30,60,10,240
96,113700,29,0,Business Owner,Tier_2,18250,0,2490,9450,4830,9460,2580,3860,6450,1630,3520,62520,11.3,12850,51180,550,0,70,280,480,3310,770,120,190,50,880
97,106500,41,3,Business Owner,Tier_1,21100,0,4110,11580,6020,4850,3110,3710,4880,1790,5100,66250,11.7,12460,40250,630,0,120,350,600,1700,930,110,150,50,1280
98,9100,34,3,Self-Employed,Tier_2,2270,200,370,680,570,930,240,650,610,520,250,7290,34.0,3090,1810,70,10,10,20,60,330,70,20,20,20,60
99,60400,31,2,Salaried,Tier_2,15110,0,2810,5190,5010,1950,2830,4200,2090,3590,3470,46250,34.0,20540,14150,450,0,80,160,500,680,850,130,60,110,870
100,19700,21,0,Student,Tier_3,5870,0,590,2660,1600,1040,350,480,360,160,600,13710,13.0,2560,5990,180,0,20,80,160,360,100,10,10,0,150
101,117900,19,0,Business Owner,Tier_3,31700,0,1590,13390,4840,4220,2710,3530,2720,500,5910,71110,33.8,39850,46790,950,0,50,400,480,1480,810,110,80,20,1480
102,71300,51,3,Salaried,Tier_2,10070,0,1870,8860,5970,4940,1600,2180,4930,2520,3180,46120,13.9,9910,25180,300,0,60,270,600,1730,480,70,150,80,800
103,44700,33,0,Salaried,Tier_1,11140,6530,840,3570,3370,3630,590,1690,2020,60,1900,35340,9.7,4340,9360,330,200,30,110,340,1270,180,50,60,0,480
104,60700,40,0,Self-Employed,Tier_2,12970,1550,1110,6470,2150,4060,2570,2310,2160,500,1350,37200,20.5,12440,23500,390,50,30,190,220,1420,770,70,60,20,340
105,47000,19,3,Freelancer,Tier_2,8550,660,2340,7850,1600,4010,530,2120,2820,650,2780,33910,25.4,11940,13090,260,20,70,240,160,1400,160,60,80,20,700
106,83600,20,0,Salaried,Tier_3,15680,0,3050,8620,5790,3710,1430,3470,3050,1100,2420,48320,8.1,6770,35280,470,0,90,260,580,1300,430,100,90,30,600
107,13000,28,0,Salaried,Tier_1,2730,790,620,1530,480,1000,350,660,700,0,370,9230,10.7,1390,3770,80,20,20,50,50,350,100,20,20,0,90
108,58300,30,1,Salaried,Tier_2,9460,0,2600,4060,3510,2350,2490,3100,1630,4180,2730,36110,16.7,9740,22190,280,0,80,120,350,820,750,90,50,130,680
109,87000,30,0,Salaried,Tier_1,27850,0,3050,8190,5200,7660,4150,4080,4290,500,3190,68160,12.0,10440,18840,840,0,90,250,520,2680,1240,120,130,20,800
110,78300,37,0,Salaried,Tier_2,19370,13880,3650,8220,6900,4620,1200,2330,1580,910,4450,67110,30.9,24190,11190,580,420,110,250,690,1620,360,70,50,30,1110
111,47900,36,2,Salaried,Tier_2,12320,0,1550,5460,3940,2070,2310,1150,3160,5530,1180,38670,35.0,16760,9230,370,0,50,160,390,720,690,30,90,170,300
112,72100,21,0,Self-Employed,Tier_1,18190,0,1820,7400,3720,3310,2200,2880,1080,1270,2800,44670,30.7,22130,27430,550,0,50,220,370,1160,660,90,30,40,700
113,22200,22,0,Student,Tier_1,7360,0,590,1600,1110,1030,960,890,950,270,670,15430,30.2,6700,6770,220,0,20,50,110,360,290,30,30,10,170
114,26300,63,1,Retired,Tier_2,7500,0,940,1840,840,2080,1260,1330,1370,1300,1410,19870,14.2,3730,6430,220,0,30,60,80,730,380,40,40,40,350
115,24800,24,1,Business Owner,Tier_1,5900,0,250,2790,760,1700,520,1580,290,360,1160,15310,29.8,7390,9490,180,0,10,80,80,600,160,50,10,10,290
116,20900,21,0,Student,Tier_1,4040,0,520,1930,1340,1870,400,990,1100,250,1140,13580,28.5,5960,7320,120,0,20,60,130,650,120,30,30,10,280
117,87000,45,1,Salaried,Tier_1,21010,8310,3600,9890,7090,2320,2710,2040,1930,9060,4830,72790,20.8,18100,14210,630,250,110,300,710,810,810,60,60,270,1210
118,81500,53,0,Salaried,Tier_1,16550,0,2730,9790,5930,3900,1070,2160,1790,1220,2900,48040,32.2,26240,33460,500,0,80,290,590,1360,320,60,50,40,720
119,141600,32,4,Salaried,Tier_2,41830,0,3890,23760,7140,10450,6820,6700,9100,500,4380,114570,34.8,49280,27030,1250,0,120,710,710,3660,2050,200,270,20,1100
120,59000,43,1,Self-Employed,Tier_1,17890,9260,780,4610,4290,4560,2340,2080,980,10,1910,48710,17.7,10440,10290,540,280,20,140,430,1600,700,60,30,0,480
121,135400,20,2,Salaried,Tier_1,30120,0,3270,10590,8920,5780,3440,4970,4620,210,7590,79510,32.4,43870,55890,900,0,100,320,890,2020,1030,150,140,10,1900
122,51000,67,2,Retired,Tier_2,10110,4720,1500,3910,2300,1900,1790,2590,1170,650,1640,32280,33.6,17140,18720,300,140,40,120,230,660,540,80,40,20,410
123,38100,36,0,Salaried,Tier_2,11250,0,870,5170,1600,1600,1850,2240,940,480,1510,27510,23.5,8950,10590,340,0,30,160,160,560,560,70,30,10,380
124,52400,49,2,Salaried,Tier_1,13650,6290,1950,6320,4570,2740,2010,2280,1490,4360,2760,48420,29.5,15460,3980,410,190,60,190,460,960,600,70,40,130,690
125,40500,29,0,Salaried,Tier_2,5400,0,1180,3730,2450,3420,1530,1690,2010,260,2260,23930,22.5,9110,16570,160,0,40,110,240,1200,460,50,60,10,560
126,8100,20,1,Business Owner,Tier_1,2200,80,400,1000,440,710,390,330,90,40,330,6010,22.0,1780,2090,70,0,10,30,40,250,120,10,0,0,80
127,80400,24,2,Self-Employed,Tier_2,14640,430,1140,8700,7050,2710,3830,2390,2390,660,2270,46210,21.0,16880,34190,440,10,30,260,700,950,1150,70,70,20,570
128,34700,20,1,Self-Employed,Tier_2,9220,880,1530,4190,2450,1310,1710,1120,700,100,1470,24680,33.9,11760,10020,280,30,50,130,240,460,510,30,20,0,370
129,82200,39,3,Salaried,Tier_1,21420,0,3140,7790,6180,6300,1030,2450,5460,1840,2720,58330,20.4,16770,23870,640,0,90,230,620,2200,310,70,160,60,680
130,45100,35,0,Salaried,Tier_3,10370,0,1080,5760,3020,3470,1720,1440,1840,70,1140,29910,11.2,5050,15190,310,0,30,170,300,1210,520,40,60,0,280
131,71300,29,0,Salaried,Tier_1,12580,9970,2690,7960,6420,4200,2110,1830,1830,580,1580,51750,17.7,12620,19550,380,300,80,240,640,1470,630,50,50,20,400
132,8100,36,2,Salaried,Tier_1,2270,740,350,930,280,180,330,300,220,520,220,6340,20.3,1640,1760,70,20,10,30,30,60,100,10,10,20,60
133,186100,29,1,Business Owner,Tier_2,49890,0,7210,20840,16630,6070,8040,10060,5000,22320,7070,153130,17.4,32380,32970,1500,0,220,630,1660,2120,2410,300,150,670,1770
134,46000,45,3,Freelancer,Tier_2,10390,3550,1770,6310,1840,1370,840,1610,740,290,1440,30150,22.5,10350,15850,310,110,50,190,180,480,250,50,20,10,360
135,126400,32,2,Salaried,Tier_2,37070,0,5910,20440,10370,3650,5640,4400,6680,12570,6380,113110,26.3,33240,13290,1110,0,180,610,1040,1280,1690,130,200,380,1600
136,118200,19,1,Self-Employed,Tier_2,27670,22890,1620,12930,5520,12130,2930,7410,3370,10,6020,102500,27.8,32860,15700,830,690,50,390,550,4250,880,220,100,0,1500
137,174800,29,0,Business Owner,Tier_2,34490,8150,3630,22070,8790,12680,5710,6890,4750,2150,3830,113140,10.7,18700,61660,1030,240,110,660,880,4440,1710,210,140,60,960
138,89700,38,3,Freelancer,Tier_2,26230,3990,3370,7850,6190,2790,4240,3440,4750,2700,3130,68680,32.4,29060,21020,790,120,100,240,620,980,1270,100,140,80,780
139,98100,28,3,Salaried,Tier_1,13560,0,1500,9500,6950,2030,3710,6410,7230,750,2480,54120,9.9,9710,43980,410,0,40,280,700,710,1110,190,220,20,620
140,84600,48,2,Salaried,Tier_2,21930,0,1300,13680,3260,4830,870,4510,3140,7330,3820,64670,12.1,10240,19930,660,0,40,410,330,1690,260,140,90,220,960
141,111200,36,1,Salaried,Tier_2,32620,0,1730,9870,3900,6530,3780,5320,5880,9210,6000,84840,25.8,28690,26360,980,0,50,300,390,2290,1130,160,180,280,1500
142,64800,43,0,Salaried,Tier_2,8410,12800,3120,6450,2380,3560,2190,2670,3820,1150,3720,50270,11.6,7520,14530,250,380,90,190,240,1250,660,80,110,30,930
143,6000,23,0,Student,Tier_2,740,0,120,380,200,450,180,270,210,40,290,2880,10.2,610,3120,20,0,0,10,20,160,50,10,10,0,70
144,41700,32,2,Self-Employed,Tier_2,7940,0,1810,5540,1420,3450,1630,2610,620,430,1560,27010,20.2,8420,14690,240,0,50,170,140,1210,490,80,20,10,390
145,8100,33,1,Self-Employed,Tier_1,2290,290,390,890,620,680,140,220,430,40,450,6440,28.8,2330,1660,70,10,10,30,60,240,40,10,10,0,110
146,43600,33,2,Salaried,Tier_3,8060,4790,1420,4520,1980,1190,1440,2470,1080,2660,950,30560,31.3,13650,13040,240,140,40,140,200,420,430,70,30,80,240
147,80200,21,1,Salaried,Tier_2,22000,0,3730,10330,4420,3410,2140,4230,2040,110,2800,55210,21.6,17320,24990,660,0,110,310,440,1190,640,130,60,0,700
148,15000,18,0,Student,Tier_1,2950,0,350,1560,460,510,490,480,620,130,660,8210,21.3,3200,6790,90,0,10,50,50,180,150,10,20,0,160
149,64900,47,0,Freelancer,Tier_1,12090,4950,2830,8450,5650,1300,2360,3500,3010,120,2670,46930,14.4,9350,17970,360,150,80,250,560,450,710,100,90,0,670
150,95400,35,3,Self-Employed,Tier_1,30880,10910,3630,10620,8440,2970,1320,3000,6030,130,4070,82000,19.7,18790,13400,930,330,110,320,840,1040,400,90,180,0,1020
151,11500,67,2,Retired,Tier_1,2230,0,210,1630,750,360,190,520,400,740,670,7700,13.6,1560,3800,70,0,10,50,80,130,60,20,10,20,170
152,60200,38,2,Salaried,Tier_1,18720,0,820,5580,3090,3370,2230,2120,4160,220,2180,42490,20.2,12160,17710,560,0,20,170,310,1180,670,60,120,10,540
153,168500,19,0,Business Owner,Tier_1,23670,30780,8310,11870,13380,9310,5930,7720,6590,790,8850,127200,8.6,14490,41300,710,920,250,360,1340,3260,1780,230,200,20,2210
154,88300,29,1,Salaried,Tier_3,17920,3260,2910,11990,4740,1950,3300,2570,1980,1980,2750,55350,31.9,28170,32950,540,100,90,360,470,680,990,80,60,60,690
155,94800,23,1,Salaried,Tier_2,20770,1270,2010,7270,3980,7770,2940,4630,5130,1360,5650,62780,29.1,27590,32020,620,40,60,220,400,2720,880,140,150,40,1410
